poem content,label,confidence
"I hesitated long, nor would embrace",fear,0.9906
"the fellow's quaint conceits and witty sayings, the",joy,0.8793
"For fear it should fall, and so kill 'em all",fear,0.9592
"Sits a majestic dame, whose looks denounce",disgust,0.8752
And loiter by the rote of guttural streams.,neutral,0.8571
A moment's interlude in life's dull play;,sadness,0.9777
"We saw Thee in Thy baulmy nest,",disgust,0.9116
What did he have--blue eyes and golden hair?,surprise,0.8612
"That neither struggled nor despaired,",sadness,0.8867
Like a tempestuous blast,fear,0.8981
leaders of the people: behind them pressed the joyful,joy,0.9489
With any other creature we abhorred,disgust,0.9338
"I saw thee sitting, on a throne of gold,",disgust,0.9618
The skates were somehow made to go.,neutral,0.8626
"That the same hues, which in their natural bowers",neutral,0.9236
"And may, I fear, already be so lost,",fear,0.9303
"This is the month, and this the happy morn,",joy,0.9195
"Hope, blossoming within my heart,",joy,0.9405
So oft we'll think we see a king new born.,neutral,0.9021
"Nay against Rumps so pittylesse was their rage and spite,",anger,0.9451
I fain must desire,sadness,0.8612
"In calm, your numbers, closely pressed.",neutral,0.8837
But no other way they know,neutral,0.9005
"Cost each the sweetest joys of life,",joy,0.9292
But at last whatever it was we swung to the end.,neutral,0.8718
"At length one night, while musing by the fire,",fear,0.8609
"That such a dull, hard thing should be!",sadness,0.9349
Who spoke in different tongues and creeds.,neutral,0.8741
To the joy of man and hero.,joy,0.9812
"And bid that blushing lip be dearer,",neutral,0.9542
Within the gates our lives are one.,neutral,0.9144
Grant this to a raving man!,anger,0.9069
"da sacri laticis loquacitatem,",neutral,0.8577
"All day cheerily,",joy,0.9893
"When the racing was concluded,",joy,0.8844
"Even to wonder, did not the safe word",surprise,0.9648
"The heav'ns, and drives on heaps the rolling clouds,",neutral,0.8764
And comforted fair Geraldine;,joy,0.9165
"That thus your fury slumbers, for the host",anger,0.9901
And has no fear of War's alarms;,fear,0.8985
A lasting record may be found with God!--,neutral,0.9208
"Not till the flames, by Hector’s fury thrown,",anger,0.9839
"The hull unto here vois ansuerde,",neutral,0.8692
Whence rang or flashed no hint of lurking peril.,fear,0.9856
Time's beyond is always better,neutral,0.914
"She who aroused us and soothed us--our passion, our pillow--",disgust,0.9426
"Can orfod pob rhod yn rhamant,",neutral,0.9113
We walk in well-remembered ways;,neutral,0.8792
Louder and louder the noise of defiance,anger,0.9516
And the lewd bulk that sleeps and stings.,disgust,0.986
"The bands that vaunting show'd their threaten'd might,",fear,0.9835
And strike our country's standard.,anger,0.9604
Leads the long order of ethereal powers.,neutral,0.9533
_Make check or money order payable to_,neutral,0.8595
Enhances nature now.,neutral,0.9095
And we raise a myriad voices to the canopy of Night.,neutral,0.9564
His riot on the piteous earth,anger,0.9177
Like to the ever-wealthy ocean:,neutral,0.8617
Whose music is the gladness of the world.,joy,0.9568
Calling and calling:--,neutral,0.9159
"While forest ways within, the wanderers hide.",neutral,0.8745
"From the vampire and the condor,",disgust,0.8665
Then sighing scarcely could she turn away,sadness,0.923
Just like he used to be.,neutral,0.9128
"Wait while the skylarks pipe,",neutral,0.9217
"Like the cold night-worm's candle, and only show'd",neutral,0.8677
In some last bloody field my sword to show.,anger,0.9394
"mox adfuturo construens iter Deo,",neutral,0.8912
But there are fens and heights and distances,neutral,0.9027
"A feeling of sadness and longing,",sadness,0.9867
"Then up and spake grey Sivard the King,",neutral,0.9175
"""Fellow,"" cried Crow, ""you're drunk with filthy beer!",disgust,0.9762
"“A little opening more, and we might meet",neutral,0.8867
And of happiness and plenty,joy,0.87
"Led by the Dove, more brightly day by day,",joy,0.9555
"The Guest will look,",neutral,0.9366
For which thou didst not fear to take by fraud,fear,0.9834
"New pains, new troubles, as I here beheld!",sadness,0.9001
And you in your mild Journey pass the Hole,neutral,0.9442
Hope blooms again and smiles on man;,joy,0.9027
Chas. Scribner's & Sons.,neutral,0.8819
In the eyes of Laughing Water,joy,0.9103
"other painted in proper perspective), which represents, in",neutral,0.8843
Teach me thy patience! still with Thee,anger,0.891
So that Lancashire merchants whenever they like,neutral,0.9498
"While Faunus in the vision comes, to keep",neutral,0.9478
And own'd the influence of a nerveless sway:,neutral,0.8983
"Cover well with flannel blankets,",neutral,0.8599
"Out from the shore of the great unknown,",fear,0.8602
"Where'er he dwells, he dwells alone,",sadness,0.863
Y rhag madiedd.”,neutral,0.8783
"did they weep, and the sun would have gone down upon their",sadness,0.9724
Through the dim vapours of the cauldron swarm,disgust,0.8828
These were the triumphs of the peaceful king.,joy,0.8692
The Prophet's tomb of all its pious spoil.,disgust,0.918
"Far from the pleasant hearth of home,",joy,0.9603
"Then I will sing ‘My God, the spring",surprise,0.8918
"But there comes a night when the best gets tight,",neutral,0.9423
"Of winter breathe the bitter cold,",anger,0.8624
"""In dreadful pomp, she ploughs the main,",fear,0.8931
"Jones--(who, I'm glad to say,",joy,0.9615
But soon or late they're sure to tumble off.,neutral,0.8594
"Whan he was uppe, he gan to fare",neutral,0.9106
"And still no maiden would have feared his gaze,",fear,0.9765
"Briefly confess'd, the triple toil ordain'd",sadness,0.8759
`What? Is this al the Ioye and al the feste?,surprise,0.9027
And plucked the red blade from her breast,anger,0.8572
Is gently lower'd till he gains the Deck.,neutral,0.8807
"Delusion opposite to that, which rais'd",neutral,0.9185
"Too happy, on my silent path,",joy,0.8997
I pity oft and sorrow,sadness,0.9799
Lieth forgivenes enshrined; the intention alone of amendment.,neutral,0.8796
A lynn soft woven in the wondrous hours,joy,0.916
"That, while I speak of it, a little while",neutral,0.9337
And went reiterating it behind us.,neutral,0.8752
"Between revenge, and grief, and hunger joined }",anger,0.9703
"And in the hollow thereof was found the nest of a magpie,",disgust,0.9519
"He who bathed within its waters,",disgust,0.9788
"Which made their marriage prospects bright and cheering,",joy,0.9801
"The tender smile on your lips that day,",joy,0.9714
"Though oft repeated, a word of cheer;",joy,0.9883
(c) _Smooth dull Unity of Sound._,sadness,0.9438
And lustles in here hertes waxe.,disgust,0.9594
"Thus as he mus'd, the wiser course appear'd",neutral,0.8976
"From Orient's altars, now pollution's prey,",disgust,0.8797
"I WROTE him a letter asking him for old times, sake",neutral,0.9033
And it was.,neutral,0.8667
"And who may show us where to pass the ford,",neutral,0.9304
The old nurse started when she saw,disgust,0.93
"Back, where the calm of prayer might prove",neutral,0.8759
He won't stop us _'cause he can't_!,anger,0.858
"Keep worlds at variance, breed eternal hates,",neutral,0.8618
"His house, and vengeance and destruction threat.",anger,0.9262
"Wi' merry dance in winter days,",joy,0.9059
Are mixed with far Canadian fields,neutral,0.9443
"Gives this answer, still finessing:",neutral,0.8916
'and wait till you see the fight;,neutral,0.9163
"And thus ther weren manye ded,",neutral,0.8902
And along the utmost rim,neutral,0.8765
"Rocked to life the tender baby,",joy,0.9519
Sing we all merrily,joy,0.8719
Such is the glory of our tribulations;,joy,0.9136
"Came the breathless Pau-Puk-Keewis,",fear,0.9853
"Weighed down beneath his whelming grief,",sadness,0.9474
"Within the pipy overgrowth of weeds,",disgust,0.891
Thou hast wit,neutral,0.8682
"Here see him lightly shine, there brightly play,",joy,0.8769
"""Prince William returned, broken down with sorrow, to Eisenach.",sadness,0.9826
Was cowl unto the other; and as bread,disgust,0.933
"There, now and then, are found",neutral,0.9324
"Some grey crusading knight austere,",neutral,0.8651
"That he could rob in safety.""",fear,0.9628
"Cura, labor, meritum, sumpti pro munere honores",neutral,0.915
From your blossoming garden gather fragrant memories of the,joy,0.8811
"Be sure that line is thine.  Here, in this home,",neutral,0.9389
To pluck it from the oak-wood e'en take it for my gift.,neutral,0.8834
Her much-adored delightful Fairy Prince!,joy,0.9264
And he spoke the words which follow:,neutral,0.9616
"energetic operation he expanded them to such extent, and ramified",neutral,0.8542
"And kepere of the remnant,",neutral,0.9239
"A little, that its rubies",neutral,0.8561
"Wait where, from shelt'ring thickets freed,",neutral,0.9449
"To down Theocracy, which is just as bad",disgust,0.8874
And me skin fair prickled wiv fear;,fear,0.9777
In all my griefs--and God has given my share--,sadness,0.9774
"When you've finished with the Book,",neutral,0.8689
"""Seiz'd with a sudden fear, we run to sea,",fear,0.9755
"folk-leaders faring from far and near,",neutral,0.9048
"Laughed with a rippling music,--nor as here",joy,0.9261
"day of your death is near, and the blame will not be ours, for it",sadness,0.9509
"""Yes, it was the mountain Echo""",neutral,0.9135
"Then up and spoke the Cameron,",neutral,0.8891
Whoe'er to Ocean's limits hath explored,neutral,0.8637
The grizzly phantom horror-haired:--,fear,0.9761
"These gross and simple creatures,",disgust,0.9795
To see the wonder palace built for me,joy,0.903
"Queen-like and clear,",neutral,0.9533
As they feel the fatal bands,sadness,0.9645
The happy flock who in that peaceful fold,joy,0.9877
And jasper tips the spear to-day.,neutral,0.9622
"Across the trough of gaslights he bounded like a deer,",fear,0.8809
"But his hawk, his hound, and lady fair.",neutral,0.8549
To be cut short in your career;,sadness,0.9717
I entreat (from your anger those words to retrieve),anger,0.9784
"Indeed, he taught me many a country craft,",neutral,0.8522
That all would death encounter / from her angry mood.,anger,0.9735
Throughout their growth their own ancestral type.,neutral,0.9008
"When the Wawa has departed,",sadness,0.9073
"She put her arms about my neck and kissed me,",disgust,0.9401
Smoothly the waters kissed,joy,0.8515
"In his bleak, ancestral Iceland,",sadness,0.9075
His world was made anew. Strangely his voice,surprise,0.9037
"Hence did the King of Tremisen' repair,",neutral,0.9122
"Many I knew as soon as I might scan,",fear,0.9098
"Or _Bolus_, 'twas their Trade to kill,",neutral,0.8553
The furious stroke astounded Milo's son,anger,0.9663
Moulder'd the stones with damp and hideous trace;,disgust,0.9274
Hoy el cauce está vacío.,neutral,0.8681
Algo se le antoxa.,neutral,0.8726
"Three little peas,",neutral,0.8809
Their lustres with the gloomier tapestries--,sadness,0.9495
Were nailed unto the cross of shame.,disgust,0.8754
"""Night and her ugly subjects thou dost fright,",fear,0.9818
"And made black white with true Old Bailey skill,",neutral,0.946
"How often, oh! how often,",surprise,0.9262
Why go thy legs tap-lappetty like men that fear to fall?,fear,0.9848
"But the past is in God's keeping,",neutral,0.9349
Was more than he now could span; and he,surprise,0.87
"_Marc._ (_trembling_). Seize on her, some of you, for she is mad.",anger,0.8711
"Like a sad widow drowned in tears,",sadness,0.9786
"tore their hair and wept bitterly round about you. Your mother,",anger,0.9189
With inward rage he meditates his prey.--HOLT WHITE.],anger,0.9548
That bears a single star.,neutral,0.9369
And I shall tell thee such a tale,neutral,0.8822
"Mount, lonely climber, brightened from afar;",joy,0.8739
supports us.,neutral,0.8751
"The foe now treads--th' exulting foe,",anger,0.9337
In which the reverend doctor said,disgust,0.9698
"And a Tory I will be, etc.",neutral,0.9453
"Howe's speech concerning that action. Burgoyne's harrangue, with",anger,0.9151
Boldens the feet to pace,neutral,0.9327
"Anear the billows swirl with rage,",anger,0.981
The wise men and all of the young Braves,neutral,0.9419
that Jack built.,neutral,0.8652
boot? Have it your own way then; for I would not have this matter,neutral,0.9436
"In the numbers he created,",neutral,0.8663
Is Paradise lonely that thou must beguile,sadness,0.9539
"And he may tremble all his life,",fear,0.9792
"It was many and many a year ago,",neutral,0.884
Alas! it seems to me but yesterday!,surprise,0.8876
This is the time when bit by bit,neutral,0.8738
So hope for the best and leave the rest,neutral,0.8568
"And round beneath it, Time, in hours, days, years,",neutral,0.8613
"Invoked the gods whose spirit moves the air,",neutral,0.8648
The Mighty Mother's name.,neutral,0.8856
SULEIKA (Speaks).,neutral,0.8697
"Round the shuddering house, threating of winter and death.",fear,0.9905
And would make her travel as far's Amsterdam.,neutral,0.9308
"flebilis indignos, Elegea, solue capillos!",anger,0.9051
"THEN, make the most of what you still may spend,",neutral,0.9183
"There sits a stark-faced fellow,",disgust,0.9194
With musk of sap and flowers.,disgust,0.9292
"The image of the glass projects itself,",neutral,0.9027
Upon some silent hill!,fear,0.9006
"Wanderest to other firesides,",disgust,0.9383
"The sun is tempting with a smile,",joy,0.9539
"""Yonder dwells the great Pearl-Feather,",neutral,0.8722
"And be ye mindful that Hyperion,",neutral,0.8758
"spirit,--constitutionally shy, and morbidly conscious of the",fear,0.948
Who'll wait on Mistess day an' night?,neutral,0.9355
"feelings of satisfaction in a piece of minstrelsy, which in the",joy,0.9811
"Yet ice-cold, changelessly melancholy,",sadness,0.9764
"Ungraspable and sad and lost, I wist,",sadness,0.959
"Gathered to rejoice and wonder,",joy,0.9697
"- Ask ever if she's living yet,",neutral,0.9248
Shivering through his dark to view Thee.,fear,0.9355
Binary stars consist of two suns which revolve round their common,neutral,0.8974
"Of weary watchers, mixed with voice of wail",sadness,0.95
What I really am you have never gleaned;,surprise,0.8945
"Have you an eye for the trails, the trails,",neutral,0.9525
"""There stretches through the midst of Tuscany,""",neutral,0.8626
"Per labyrintheos plus quam mortalia tentat,",neutral,0.862
"I sleepless lie frae e'en to morn,",fear,0.9398
The clear to the loftier Clear.,neutral,0.8544
"From the wife of cold misfortune,",sadness,0.9654
And the young seaman checks his blithesome song,neutral,0.87
A somewhat different version is given in Durfey's PILLS TO PURGE,neutral,0.9308
A wonder in that splendid star,surprise,0.971
"Because rough angles they have not,",neutral,0.9226
"Add health, and pow'r, and ev'ry earthly thing:",neutral,0.9179
To shape and hue; and Gabriel,neutral,0.9255
Prepared to give their wealth away.,neutral,0.896
"At night he was seen with Crockford's crew,",fear,0.954
"I have yet to touch that undiscovered shore,",neutral,0.8947
"The selfsame course, by light of moon or sun.",neutral,0.9096
That skims great billows,neutral,0.8846
Also lay the sought-for trumpet.,neutral,0.886
Here goes one down the grass,neutral,0.8987
"Who seemed breathless with fright,",fear,0.9935
And turn him like the Cyclops mad with blindness.,anger,0.9163
To the first publication of this Epistle.,joy,0.8874
"Groom currying so fast, for whom his lord",disgust,0.9133
"(And by the bowlder, also).",neutral,0.8529
And bravelier the triumphant blood of youth,joy,0.8968
"And more true joy Marcellus exiled feels,",joy,0.957
I stood upon the stair: the surges bore,fear,0.913
"And burn thee up, as well as I!",anger,0.9572
"That one who haunted ""rout"" or ball,",fear,0.8673
"The fine _old_ English Gentleman, simmer it well,",neutral,0.8779
And from the trembling mountain rent,fear,0.9909
"Like a timid person who gets gooseflesh,",fear,0.9781
"Be holy still, till east to west has run,",neutral,0.8538
"Myself, and bear my dreaded brand,",fear,0.9552
"The violet's blue,",neutral,0.8667
Till Sunday asks another homily,neutral,0.9253
And they tell the tale of his charity,neutral,0.8716
"Yet more must I, that therein see far more",neutral,0.8656
"Of robbers, and are haunted by the ghosts",fear,0.9782
"Exports the produce of a thousand plains,",neutral,0.9332
"Then went Lady Kriemhild / with fullest courtesy due,",neutral,0.9133
That is ingenerate in fleshly slime.,disgust,0.9803
"And a banjo they had,",neutral,0.8644
"""You'll get a new suit, or",neutral,0.9355
"There was a time for service, and he served;",neutral,0.878
"And Helen breathed the scent of violets, blown",disgust,0.9752
"Triptolemus. Eumolpus being the Hierophant, or explainer of the",neutral,0.9204
"Saw the trout within the river,",disgust,0.9446
But she kept the posies of mignonette,neutral,0.9025
"The grisly horrors of that hateful pest,",fear,0.8501
That umbrageous Old Person of Spain.,disgust,0.9078
"Sun-kissed with smiles or gloomed with mists of tears,",sadness,0.9354
"Oh, then I can paint, it is true but in part,",neutral,0.9071
Their daily-practised chafings keep alive.,neutral,0.9302
And in like guise was Adam's spirit mov'd,neutral,0.8542
"Victorious men of earth, no more",neutral,0.8907
"And a chant of undertones,--",disgust,0.8905
Then through the world of waters they repair,neutral,0.9208
"Bring all, bring all, that thou mayst wholly perish.  R. WI.",sadness,0.8764
"LXV. ""On fly the barks o'er ocean. Near us frown",anger,0.9423
And hints to noble lords and nurses;,neutral,0.8746
"XLVII. ""O Turnus, cause of all our ills to-day,",sadness,0.9121
"And with its hoarse growl shakes the low-hung sky,",anger,0.8958
"But there presses on me a grievous pain,",sadness,0.8717
True wisdom join'd with simpleness;,neutral,0.8777
"Wept with loud cries, but spoke no word.",sadness,0.9442
"And majesty, and sacred form and fear;",fear,0.8979
"The wind-flower frail and sweet,",sadness,0.8877
But I was happier than they;--,joy,0.9633
"At anchor in that harbour of the island,",fear,0.948
"'Exulting, down the shouting troops,",anger,0.9766
But one goes home to weep!,sadness,0.9178
"Cover'd with leaves the little children,",neutral,0.9108
"At last, by forms of earthly semblance led,",neutral,0.8776
"ye on {the} water’s domain,",neutral,0.8781
"Thy cheering virtues, and thy worth proclaim.",joy,0.9701
"One day, one day, on my pitiless way",sadness,0.8756
"Beyond the savin' powers o' glue,",neutral,0.9038
Give 'em one cheer more!,joy,0.907
To face the flaming cannon's mouth nor ever,anger,0.959
Still gath'ring fast upon the trembling train;,fear,0.9929
And when the people that stood near,disgust,0.924
"On the high and the low, and come alike to all.",neutral,0.9395
"fate, my heart?  Ah, death were better by far for thee!",anger,0.9129
"The beech-burrs burst,",anger,0.9479
"For hit is brod & boþe{m}leȝ, & bitter as þe galle,",anger,0.9676
"And presence I might guess thee chief of those,",neutral,0.9287
Already in the outland wilderness,fear,0.8539
For every glass may now suffice,neutral,0.9442
"His friend and shame, and was a kind of screen.",disgust,0.9607
"Hieroglyphic books, native,",neutral,0.9224
"From Bulicame, to be portion'd out",neutral,0.8918
"On thy triumphant _Fools_,",joy,0.8881
And loud advaunce her laud;,joy,0.8727
"From ""Midnight"" to big corner ""Ken,""",neutral,0.9011
Of old Mycenae; or as Tiber holds,neutral,0.9061
One little sandpiper and I.,neutral,0.8927
"Give to thy joy its wings,",joy,0.9434
Soul of my soul remain;,sadness,0.8568
"And maken all this lamentatioun,",sadness,0.9211
I want to go back to Penang! I want to go back!,sadness,0.8944
Capricious friend!,joy,0.9221
the resources of experiment and of scientific method built upon,joy,0.8954
"To issue a sublime Ukase,",joy,0.9544
"New beauties kindle, and new joys arise!",joy,0.853
"Were a straight road and a steady light,",neutral,0.8643
That Aoife'll know and all her people know,neutral,0.9084
In this rich Indian summer of the heart,joy,0.9295
"And past the birks and meikle-stane,",neutral,0.874
"I kneel, and weeping for each slaughtered son,",sadness,0.8974
"For Steele, went trotting faster.",neutral,0.8798
"With their swords graspt, their eyes of flame",anger,0.9582
They saw the figure of that cruel knight,disgust,0.9776
See with what simplicity,neutral,0.9356
"Flutes so musical and mellow,",joy,0.8691
"Devourer, and insensibly devoured;",disgust,0.9563
Would we not? than wonder at Madonnas--,surprise,0.959
And dies beneath its shadow. Cause of death?,sadness,0.8611
"To whom the wilie Adder, blithe and glad.",joy,0.973
"To rout each hostile squadron, filled with dread,",fear,0.989
Of sunny plume in gilded trellis-work;,joy,0.9411
"To the MACMILLAN COMPANY for ""The Forsaken Merman,"" by Matthew",neutral,0.8941
"I thought. ""They loved me and will let me in.""",joy,0.9184
"But as one bewildered sat he,",surprise,0.9414
"In reverent guise thine head incline,",disgust,0.9344
E sus villas e sus tierras,neutral,0.8943
"And wonder whilst on you I gaze,",surprise,0.9752
"Freely He fix'd him on Sienna's plain,",neutral,0.8956
"I find one side a balance and the antipedal side a balance,",neutral,0.902
It lasted till day was done.,neutral,0.9322
"Cleaving the fishy flood, we reach'd by night",fear,0.8825
"Heaved from his inmost heart, trembling with dread.",fear,0.9889
"Great Hector view’d him with a sad survey,",sadness,0.9828
"Joy's a fix'd state; a tenure, not a start.",neutral,0.8705
glory in the highest airs.,joy,0.9355
"Mar.    The laudable use of forks,",joy,0.9558
"The daisies love the golden sun, upon the clear blue sky,",joy,0.9524
Two casks of biscuit and a keg of butter,neutral,0.8901
"When the broth is made,",disgust,0.8789
A genuine summer in each others breast;,joy,0.9232
made progress enough to receive on leaving the warm praise of the,joy,0.8953
"He will one day be, when thus he's crushed,",sadness,0.8588
Yet if you pursue it you'll certainly catch it.,neutral,0.9698
"By rules of Love,",neutral,0.8986
My infant love could humbly wait,joy,0.9693
But oh! I found 'twas only at,surprise,0.9001
A joy which is but joy soon comes to dearth.,joy,0.9459
Cream ices handed round on trays.,disgust,0.9528
"Reveale to me, and all the meanes detect",neutral,0.8709
In the beautiful land of dreams.,joy,0.9671
"cloth thereunder, and beneath was a footstool for the feet.",disgust,0.881
 Avicenna died in 428 A.H.,sadness,0.886
O'er all there hung a shadow and a fear,fear,0.9734
Where springs the pleasant west-wind to unfold,joy,0.9371
Confusion worse confounded; and Heaven-gates,disgust,0.8798
Let freedom ring.,neutral,0.8608
"Heart and mind are wrung with grief,",sadness,0.9573
One passionate tranquillity!,joy,0.8599
on the fathomless sea-ways sailor-folk,fear,0.9802
"Whatever toils, and whom Minerva loves?",neutral,0.8636
Yet alas! in oor moments o' sunniest cheer,sadness,0.8703
"Two Vipers, that's plain,",neutral,0.8988
"The living entrails tear, and feed the sacred fire.",disgust,0.9483
About his eloquent tongue;,neutral,0.9255
"_Return! Return!_ I cry, _O Visions vanished,",sadness,0.962
"This good sword that hath served me well,",joy,0.8894
favour. Therefore be pleased to write to me all your wishes in,joy,0.9814
"They say of a thinker's bold sallies,",neutral,0.9345
That though from hence I can but vainly yearn,sadness,0.9814
While I am lone and desolate.,sadness,0.9307
"And drag a length of clanking chain, and wail,",anger,0.9043
"Rejoice, and men will seek you;",joy,0.8699
Flame-decked this plain of warring kings,neutral,0.8812
"Then rests, deep mourning,",sadness,0.9128
"And Bertha, before her, was simply a fright,",fear,0.9876
Fill the wide circle of the eternal year:,neutral,0.9352
"Where I reign King, and to enrage thee more,",anger,0.9262
"Chaunting a choral hymn, composed by one",disgust,0.9442
And so much gloom:,sadness,0.9544
"Ah, poor New England!  He who hurricanoed",sadness,0.8992
But suffer _me_ to be a Father too;,sadness,0.8827
"This saw Ulysses, and with grief enraged,",anger,0.9743
Of English bullion mix'd with Latian ore:,neutral,0.9085
"And should the flour bag run short, then mutton, beef, and",neutral,0.9174
"By s{ir} Torent she her sett,",neutral,0.8736
"With the silence of my heart,",sadness,0.8537
"And the sweet beauty of an Apple-bloom,",joy,0.9128
"Milnes, R. M., CLXII",neutral,0.8711
But when I feel my lightened mind,joy,0.9789
Our works be what they please.,neutral,0.9381
"Out of the Latin translated by Arthur Goldinge of London,",neutral,0.8772
"Drove 'em back to their own shore,",neutral,0.8855
"Turn thitherward thy thoughts; our ships on fire,",anger,0.9232
But in the full face of the fire of day,anger,0.8695
"I'll get me hence, II. 13.",neutral,0.9292
And pathos--struggling with the first few bars.,fear,0.9728
'T were marvel but Rogero loved the maid:,surprise,0.8527
But is sure to be lost in his prodigal heir.,sadness,0.8939
"""Why! he must have learnt English, he knows what we say,""",surprise,0.894
At last despair of winning me compelled,fear,0.9104
And coast-towns where the vultures back and forth,anger,0.9152
Mr. Makepeace was bred an attorney.,neutral,0.8509
"He’ll stick thee on this spit, I fear.”",fear,0.9466
"Cheer, boys! cheer! for England, mother England!",joy,0.973
"Hoping now here, now there, to spy some trace:",neutral,0.8883
Blows off the filth that hid the deeper sky;,disgust,0.8969
"With a binding of blue,",neutral,0.8588
Great Poets have always been those who believed that poetry,neutral,0.8749
That speak as Autumns do;,neutral,0.9293
"God, give me strength my evil self to kill,",anger,0.8521
And seaward pour:,neutral,0.8648
They would have tracked her heavenly footsteps through,neutral,0.9091
Killed the host of Sariola;,anger,0.8619
"""Shame, shame, it is _yourself_ that roam, Sir--",disgust,0.8975
"To whom in answer Thetis, weeping, thus:",sadness,0.9812
"And the boat was nearly sinking,",fear,0.912
"I live for DELIA, and myself alone.",sadness,0.9696
Which I must keep till my appointed day,neutral,0.9085
"And mine at dead of night.""",fear,0.9657
"Its powers of apprehension, memory, choice;",fear,0.9716
A shepherd there is weeping o'er the grave,sadness,0.9676
The wide scene lies in light! how gloriously,joy,0.9103
Heard the name of Thorberg Skafting,neutral,0.8698
"And Centres all of severall worlds by right,",neutral,0.9102
"I fear that we shall find the stripling dead.""",fear,0.9835
"Who, combating the Genius, scorched and seared,",anger,0.8988
"Some thirty are seated, and handsomely treated",joy,0.8893
"For when Patroclus fell, the friend was slain",sadness,0.8824
"On the shore, in merry frolic,",joy,0.9467
"Gate, way-road, manner.",neutral,0.8795
"And broke his sword in splinters three,",anger,0.8533
Every hour a new passion can feel;,joy,0.9407
"And, now, around our charier fires,",neutral,0.9475
"And, not by Decency or Honour sway'd,",neutral,0.8717
So mot I nedes be that weie,neutral,0.9014
"And thus, according to her prayer, commands",neutral,0.9206
"Their songs may be joyful to some, but to me",joy,0.9808
"So dark, of dire hostility surrounds",fear,0.9463
Wherein these are as guests.,neutral,0.9012
"And marching single in an endless file,",neutral,0.9121
Who sole above us henceforth is lamented?,sadness,0.897
"Thy turbaned troops and blood-red flags,",disgust,0.889
And swell'd to breathless words--'At last we meet!',fear,0.9842
"Swelled with a sound more solemn, whilst the sun",sadness,0.9228
"Meantime, Ciconians to Ciconians call'd,",neutral,0.9294
"""'Las! the noble heart,"" they thought, ""he in sooth is grief-",sadness,0.9179
"Then said Achilles, ""Son of Atreus, king of men Agamemnon, see to",neutral,0.8807
"Sweet rose, fair flower, untimely pluck'd, soon vaded,",sadness,0.8844
Which should be their food forever.,neutral,0.9171
Such vassal leads not king's array.,neutral,0.8649
"Yours the rind, and mine the rest;",neutral,0.8789
"Down some profound dull tunnel, long since scooped",sadness,0.905
Came slope upon the threshold of the west;,fear,0.9026
Scraping of this gain together.,neutral,0.8815
The chant of joy and power for boundless fertility.,joy,0.9559
"Rhyme, ring! chime, sing! pleasant Sabbath bells!",joy,0.9287
An' in the warmth of her caress,joy,0.854
"¡Árbol sagrado, que la obscura frente,",disgust,0.948
"And happy, too, as ony lark",joy,0.9298
"And even at midnight, so restless, they say,",fear,0.8724
To load with all the lovely things,joy,0.9534
"His pinion, and with short uneasy sweeps",fear,0.9758
Glad to leave far below the clanging city;,joy,0.9675
"I take my little porringer,",neutral,0.8912
"God rest you merry gentlemen,",joy,0.9029
Ilk cowslip cup shall kep a tear:,sadness,0.8815
Made warm by the numbers compact.,neutral,0.8764
"Such glory as her joyful eyes have drunken,",joy,0.9816
"Come uppe, Jetty, rise and follow,",neutral,0.8614
section of the country had programs in his honor.,neutral,0.92
"Skilful anglers hide their hooks, fit baits for every season;",neutral,0.9008
"And thence, with all convenient speed, to Rome,",neutral,0.9239
The Doctor from his Worship sadly did depart--,sadness,0.9746
Of earthquakes rolling slow to towers afar;,fear,0.9082
Then I saw in his face,disgust,0.8546
"Like play and song, and shepherds too.",neutral,0.8664
Loud the triumph and rejoicing.,joy,0.979
"Had known the leap of joy, the fire of flame",joy,0.9744
"In Paphlagonia; then, with anger fill'd,",anger,0.9644
A withered flower on the stalk.,disgust,0.9742
"Right descendants of Wallace, Montrose, and Dundee.",neutral,0.9212
"Not less I love each dull familiar face,",sadness,0.9691
"As o’er the grim surge with his chariot in motion,",sadness,0.903
And bids Aurora with her golden wheels,neutral,0.8791
"For music did each movement rouse,",neutral,0.8568
"The proud eyes' fire, soft voice and light lips' curve?",neutral,0.9066
And beauty to the pleasant Wife,joy,0.9146
"As the shape of a corpse dimmers up through deep water,",disgust,0.9774
"Then a Creature, skinned and crimson,",disgust,0.9646
"Then, his sad soul with pain distraught,",fear,0.9227
"I sold my calf, and I bought me a cat;",joy,0.9547
"Reight dahn the park they did ’em mark,",neutral,0.9369
These are three sumach-red dogs I run with.,neutral,0.9162
Another would to sovereign rule advance.,neutral,0.9139
"And a few more, she knew, that were not brave,",neutral,0.915
"All glad to hear the greetings / of friends, a joyful throng.",joy,0.9911
but so poor were the original productions of the defenders,sadness,0.8939
"Of streams that water banks forever fair,",neutral,0.878
"I fall not on my sad clay face before ye,--",sadness,0.9854
And that night when the stranger came home with our Jane,fear,0.9504
Our fickle joy;,anger,0.8888
Then the joyous Hiawatha,joy,0.9836
"""How blame the world? for the world hast thou wrought?",anger,0.8691
And ploughs like toys,neutral,0.8942
"And from the Snowe he calls her inne,",neutral,0.8928
"Terrible as the lightning rush'd he down,",fear,0.9524
"E'en then half spider, sad upon the shreds",sadness,0.9753
"Below the far, faint peaks of snow,",fear,0.8821
"One gave a sacrificial cup,",disgust,0.9702
